Data,Categoria,Regiao,Produto,Vendas,Lucro,Quantidade
2025-01-25,Brinquedos,Sul,Produto E,556,162,4
2025-09-24,Livros,Sul,Produto C,756,185,3
2025-12-24,Roupas,Sul,Produto C,945,246,6
2025-04-02,Alimentos,Leste,Produto A,863,293,17
2025-06-08,Brinquedos,Oeste,Produto C,139,461,10
2025-09-30,Roupas,Norte,Produto A,661,404,4
2025-10-23,Eletrônicos,Oeste,Produto D,203,309,6
2025-03-09,Brinquedos,Sul,Produto A,303,181,4
2025-04-04,Livros,Norte,Produto A,949,130,7
2025-08-06,Eletrônicos,Norte,Produto D,185,59,4
2025-01-01,Eletrônicos,Norte,Produto B,206,77,17
2025-04-28,Eletrônicos,Leste,Produto C,276,219,11
2025-01-29,Alimentos,Norte,Produto B,340,117,20
2025-09-19,Livros,Norte,Produto A,138,115,10
2025-01-14,Roupas,Oeste,Produto E,577,261,4
2025-04-18,Livros,Sul,Produto A,787,479,10
2025-07-14,Alimentos,Sul,Produto C,857,299,12
2025-04-05,Livros,Sul,Produto C,234,473,3
2025-03-22,Eletrônicos,Leste,Produto E,764,385,14
2025-12-02,Brinquedos,Norte,Produto C,687,104,6
2025-01-15,Eletrônicos,Sul,Produto D,305,444,7
2025-09-23,Brinquedos,Norte,Produto C,704,379,3
2025-04-28,Alimentos,Norte,Produto C,369,390,18
2025-05-13,Alimentos,Sul,Produto D,899,360,20
2025-08-07,Alimentos,Leste,Produto B,927,318,19
2025-04-08,Brinquedos,Sul,Produto C,233,326,9
2025-01-26,Brinquedos,Leste,Produto B,203,139,8
2025-10-07,Brinquedos,Sul,Produto C,988,196,11
2025-10-29,Roupas,Norte,Produto C,964,245,10
2025-07-17,Roupas,Leste,Produto C,652,166,8
2025-09-25,Roupas,Oeste,Produto A,971,221,16
2025-06-28,Livros,Norte,Produto C,808,57,18
2025-02-08,Alimentos,Sul,Produto A,712,334,10
2025-04-27,Eletrônicos,Oeste,Produto A,227,229,5
2025-01-02,Brinquedos,Sul,Produto C,335,427,1
2025-03-28,Alimentos,Sul,Produto C,864,414,12
2025-12-13,Brinquedos,Sul,Produto D,511,290,1
2025-05-13,Alimentos,Oeste,Produto E,927,193,20
2025-04-11,Brinquedos,Sul,Produto D,673,468,14
2025-11-05,Brinquedos,Oeste,Produto D,814,134,6
2025-03-17,Eletrônicos,Sul,Produto E,574,201,13
2025-05-13,Roupas,Leste,Produto A,364,124,18
2025-06-09,Eletrônicos,Sul,Produto C,891,57,7
2025-03-09,Eletrônicos,Oeste,Produto A,184,310,20
2025-11-04,Eletrônicos,Leste,Produto E,415,219,1
2025-05-22,Brinquedos,Oeste,Produto B,482,79,19
2025-06-29,Eletrônicos,Leste,Produto E,831,90,8
2025-11-23,Livros,Sul,Produto D,316,447,19
2025-12-19,Roupas,Sul,Produto E,678,121,7
2025-07-20,Brinquedos,Sul,Produto C,708,229,17
2025-12-17,Brinquedos,Oeste,Produto B,218,195,15
2025-01-02,Brinquedos,Leste,Produto A,670,259,12
2025-09-21,Brinquedos,Leste,Produto E,782,301,1
2025-11-23,Livros,Sul,Produto C,284,169,4
2025-10-02,Livros,Leste,Produto D,163,108,8
2025-05-22,Eletrônicos,Leste,Produto E,914,275,19
2025-08-29,Brinquedos,Norte,Produto A,910,312,3
2025-03-02,Roupas,Oeste,Produto E,886,262,9
2025-11-13,Alimentos,Sul,Produto E,190,462,12
2025-03-24,Livros,Leste,Produto E,268,173,12
2025-01-28,Roupas,Leste,Produto A,550,345,11
2025-06-23,Eletrônicos,Norte,Produto B,378,217,1
2025-09-16,Livros,Sul,Produto D,894,69,9
2025-05-15,Alimentos,Leste,Produto B,892,408,8
