Data,Categoria,Regiao,Vendas,Lucro,Quantidade
2025-11-02,Livros,Sul,327,429,6
2025-04-11,Eletrônicos,Sul,908,229,13
2025-05-14,Livros,Leste,501,208,9
2025-09-08,Roupas,Leste,595,455,5
2025-08-05,Brinquedos,Sul,298,428,6
2025-08-08,Roupas,Sul,869,89,7
2025-06-04,Roupas,Norte,602,302,9
2025-01-19,Roupas,Norte,770,383,16
2025-12-23,Livros,Norte,668,89,16
2025-08-22,Brinquedos,Norte,124,361,14
2025-05-15,Livros,Norte,850,313,18
2025-10-12,Roupas,Sul,977,292,13
2025-07-07,Brinquedos,Sul,711,396,9
2025-11-14,Brinquedos,Oeste,839,395,11
2025-02-14,Alimentos,Leste,760,234,8
2025-01-25,Alimentos,Leste,856,473,6
2025-05-27,Roupas,Norte,966,103,13
2025-12-14,Brinquedos,Leste,562,268,3
2025-10-04,Roupas,Leste,324,126,11
2025-04-19,Alimentos,Leste,886,64,19
2025-10-12,Roupas,Oeste,791,205,9
2025-05-14,Brinquedos,Norte,813,310,18
2025-11-26,Brinquedos,Sul,769,444,15
2025-11-07,Brinquedos,Oeste,881,235,14
2025-11-25,Eletrônicos,Oeste,854,273,16
2025-04-05,Livros,Oeste,222,131,2
2025-05-05,Eletrônicos,Leste,368,76,10
2025-01-15,Livros,Oeste,100,213,6
2025-12-23,Livros,Sul,670,202,7
2025-03-04,Livros,Sul,594,145,3
2025-04-13,Alimentos,Sul,148,348,11
2025-10-30,Livros,Oeste,528,482,7
2025-03-31,Livros,Sul,377,249,9
2025-11-05,Alimentos,Leste,188,52,8
2025-08-25,Livros,Norte,955,153,4
2025-02-25,Brinquedos,Norte,226,165,19
2025-04-26,Alimentos,Leste,520,71,12
2025-04-26,Roupas,Leste,306,372,14
2025-03-12,Roupas,Sul,563,223,16
2025-10-06,Livros,Sul,863,146,6
2025-12-11,Brinquedos,Norte,563,175,20
2025-08-23,Brinquedos,Oeste,751,225,6
2025-05-14,Brinquedos,Norte,160,313,11
2025-06-01,Alimentos,Sul,131,331,20
2025-02-28,Eletrônicos,Oeste,398,154,10
2025-03-31,Roupas,Oeste,212,465,14
2025-02-19,Eletrônicos,Leste,860,60,16
2025-08-03,Roupas,Leste,141,425,14
2025-01-30,Eletrônicos,Leste,755,230,18
2025-08-25,Roupas,Sul,685,318,10
2025-12-17,Alimentos,Sul,146,420,11
2025-08-02,Eletrônicos,Leste,864,308,7
2025-02-02,Brinquedos,Oeste,886,499,7
2025-05-28,Brinquedos,Oeste,990,109,14
2025-10-27,Livros,Norte,874,110,12
